bits,rating,average,size,inX,inY,outX,outY,expX,expY,exactX,exactY,diff,errsize,errangle,score,cycles
7,angle,193.0943,0x01,0xFF92,0x006B,0xFF48,0x00B2,0xFF48,0x00B2,-0.7168139528,0.6972644814,0,0.003051711,567.0352,0.04680442,1144
7,diff,0.00775098425,0x01,0x0005,0x0050,0x0010,0x00FF,0x0010,0x0100,0.06237828616,0.9980525785,1,0.1947392,50.35762,0.1986248,1139
7,cycles,1008.66083,0x01,0xFFC1,0xFF81,0xFF8E,0xFF1B,0xFF8E,0xFF1B,-0.4443898475,-0.8958335021,0,0.07555955,290.073,0.09794173,1511
7,exact,99.2249016,0x01,0x0077,0x0079,0x00B4,0x00B7,0x00B4,0x00B7,0.7011898782,0.7129745821,0,0.2689559,14.20459,0.270052,1468
8,score,0.104766007,0x01,0xFF33,0x0092,0xFF2F,0x0095,0xFF2F,0x0095,-0.8145381001,0.5801100615,0,0.2636295,98.98309,0.2712671,1415
8,size,0.0896196435,0x01,0x00B3,0x00B6,0x00B4,0x00B7,0x00B4,0x00B7,0.7012063352,0.7129583967,0,0.2689559,9.443494,0.2696846,1399
8,angle,196.296877,0x01,0xFF24,0x00D6,0xFF48,0x00B2,0xFF48,0x00B2,-0.7168139528,0.6972644814,0,0.003051711,567.0352,0.04680442,1131
8,diff,0.00821078431,0x01,0x0009,0x0090,0x0010,0x00FF,0x0010,0x0100,0.06237828616,0.9980525785,1,0.1947392,50.35762,0.1986248,1098
8,cycles,1194.61603,0x01,0xFF82,0xFF02,0xFF8E,0xFF1B,0xFF8E,0xFF1B,-0.4443898475,-0.8958335021,0,0.07555955,290.073,0.09794173,1498
8,exact,99.1789216,0x01,0xFF33,0x0092,0xFF2F,0x0095,0xFF2F,0x0095,-0.8145381001,0.5801100615,0,0.2636295,98.98309,0.2712671,1415
9,score,0.104994643,0x01,0xFEB6,0x0141,0xFF49,0x00B2,0xFF48,0x00B2,-0.7168139528,0.6972644814,1,0.2773316,5.265081,0.2777378,1418
9,size,0.0897354987,0x01,0x0141,0x014A,0x00B2,0x00B7,0x00B2,0x00B8,0.6972644814,0.7168139528,1,0.2773316,5.265081,0.2777378,1402
9,angle,197.758508,0x01,0xFEFF,0x00FA,0xFF48,0x00B2,0xFF48,0x00B3,-0.7168012798,0.6972775095,1,0.003051711,570.7841,0.04709369,1418
9,diff,0.00819471624,0x01,0x0063,0x0190,0x003D,0x00F8,0x003E,0x00F9,0.2402509274,0.9707108178,2,0.2375563,297.9145,0.2605436,1189
9,cycles,1344.65945,0x01,0xFF04,0xFE04,0xFF8E,0xFF1B,0xFF8E,0xFF1B,-0.4443898475,-0.8958335021,0,0.07555955,290.073,0.09794173,1585
9,exact,99.1820572,0x01,0x01DD,0x01D0,0x00B8,0x00B3,0x00B8,0x00B3,0.7168071248,0.6972715008,0,0.2750429,8.452288,0.2756951,1188
10,score,0.105098055,0x01,0xFDD9,0x0218,0xFF49,0x00B2,0xFF49,0x00B3,-0.7167962198,0.6972827111,1,0.2773316,10.51079,0.2781426,1505
10,size,0.0898054986,0x01,0x0217,0x0226,0x00B2,0x00B7,0x00B2,0x00B8,0.6972644814,0.7168139528,1,0.2773316,5.265081,0.2777378,1505
10,angle,198.191526,0x01,0xFCD9,0x0311,0xFF49,0x00B3,0xFF48,0x00B3,-0.7168099169,0.6972686305,1,0.004577741,571.1353,0.04864682,1389
10,diff,0.00811415567,0x01,0x003B,0x0222,0x001B,0x00FE,0x001C,0x00FF,0.1074331978,0.9942123053,2,0.2222624,358.7799,0.249946,1444
10,cycles,1390.42066,0x01,0xFE08,0xFC08,0xFF8E,0xFF1B,0xFF8E,0xFF1B,-0.4443898475,-0.8958335021,0,0.07555955,290.073,0.09794173,1572
10,exact,99.1903027,0x01,0x0395,0x037C,0x00B8,0x00B3,0x00B8,0x00B3,0.716810401,0.6972681328,0,0.2750429,9.421467,0.2757699,1461
11,score,0.10554274,0x01,0x0430,0x044D,0x00B2,0x00B7,0x00B3,0x00B7,0.6976078923,0.7164797476,1,0.2773316,104.1054,0.2853644,1476
11,size,0.089845221,0x01,0x042D,0x044B,0x00B2,0x00B7,0x00B2,0x00B8,0.6972553411,0.7168228437,1,0.2773316,2.634968,0.2775349,1492
11,angle,203.439841,0x01,0xFDE1,0x044C,0xFF8E,0x00E5,0xFF8F,0x00E6,-0.4426427625,0.8966980455,2,0.07555955,692.1435,0.1289657,1189
11,diff,0.0671865128,0x01,0x0049,0x04B4,0x0010,0x00FF,0x000F,0x0100,0.06052009094,0.9981669793,2,0.1947392,434.3636,0.2282549,1471
11,cycles,1392.29238,0x01,0xFC10,0xF810,0xFF8E,0xFF1B,0xFF8E,0xFF1B,-0.4443898475,-0.8958335021,0,0.07555955,290.073,0.09794173,1559
11,exact,93.4525455,0x01,0xF88D,0x073F,0xFF48,0x00B3,0xFF48,0x00B3,-0.7168122449,0.6972662372,0,0.2750429,9.96692,0.275812,1178
12,score,0.105642673,0x01,0xF766,0x0861,0xFF49,0x00B2,0xFF49,0x00B3,-0.7163171345,0.6977748654,1,0.2773316,152.1801,0.2890739,1479
12,size,0.089844026,0x01,0x085A,0x0896,0x00B2,0x00B7,0x00B2,0x00B8,0.6972553411,0.7168228437,1,0.2773316,2.634968,0.2775349,1479
12,angle,204.750468,0x01,0xFBC2,0x0899,0xFF8E,0x00E5,0xFF8F,0x00E6,-0.442481035,0.8967778619,2,0.07555955,729.3436,0.1318361,1176
12,diff,0.0858924724,0x01,0x0092,0x0967,0x0010,0x00FF,0x000F,0x0100,0.06054514216,0.9981654601,2,0.1947392,429.187,0.2278555,1458
12,cycles,1382.92283,0x01,0xF81F,0xF01F,0xFF8E,0xFF1B,0xFF8E,0xFF1B,-0.4444789655,-0.8957892884,0,0.07555955,269.5532,0.09635841,1546
12,exact,91.6324307,0x01,0xF11A,0x0E7E,0xFF48,0x00B3,0xFF48,0x00B3,-0.7168122449,0.6972662372,0,0.2750429,9.96692,0.275812,1165
13,score,0.105662088,0x01,0x1134,0x10C3,0x00B7,0x00B2,0x00B7,0x00B3,0.7162358411,0.6978583093,1,0.2773316,176.2093,0.290928,1450
13,size,0.0898382404,0x01,0x10B4,0x112C,0x00B2,0x00B7,0x00B2,0x00B8,0.6972553411,0.7168228437,1,0.2773316,2.634968,0.2775349,1466
13,angle,205.077067,0x01,0x091D,0x0FFE,0x007E,0x00DF,0x007F,0x00DE,0.4951101377,0.8688302202,2,0.05262897,754.5281,0.1108487,1141
13,diff,0.0908945449,0x01,0x0124,0x12CE,0x0010,0x00FF,0x000F,0x0100,0.06054514216,0.9981654601,2,0.1947392,429.187,0.2278555,1445
13,cycles,1370.81561,0x01,0xF03D,0xE03D,0xFF8E,0xFF1B,0xFF8E,0xFF1B,-0.4445235031,-0.895767188,0,0.07555955,259.2978,0.0955671,1533
13,exact,91.1460518,0x01,0xE234,0x1CFC,0xFF48,0x00B3,0xFF48,0x00B3,-0.7168122449,0.6972662372,0,0.2750429,9.96692,0.275812,1152
